countryorigin_iso3,row_count,valid_measure_count,measure_sum,measure_mean
CHN,589626,589626,651605135422,1105116.014934891
JPN,352375,352375,304562507423,864313.6074437744
USA,209259,209259,291521135474,1393111.576916644
KOR,112063,112063,266807274024,2380868.5652177795
THA,86863,86863,252139451874,2902725.5779100424
TWN,93071,93071,244973287949,2632111.9140118835
SGP,208349,208349,230099848496,1104396.2221848918
IDN,35819,35819,162933845447,4548810.559954214
MYS,64880,64880,161741895330,2492939.200524044
SAU,602,602,158896912371,263948359.4202658
HKG,101834,101834,86066040359,845160.1661429385
DEU,71317,71317,84040596488,1178409.0257301906
VNM,25507,25507,81560402300,3197569.38487474
IND,30803,30803,64256842317,2086057.926727916
KWT,68,68,50892552307,748419886.867647
FRA,21600,21600,44637915561,2066570.1648611112
AUS,22107,22107,40003366998,1809533.9484326232
RUS,401,401,32936959031,82137054.94014962
QAT,379,379,30487133957,80440986.6939314
ARE,2851,2851,29645763789,10398373.829884252
ITA,21714,21714,24381641556,1122853.530256977
GBR,25392,25392,22703618801,894124.8740154379
NLD,13858,13858,22496630903,1623367.7949920623
BRA,3047,3047,22203259676,7286924.73777486
CAN,7900,7900,22165334679,2805738.566962025
NZL,5598,5598,21894755247,3911174.57073955
ESP,11503,11503,18727239343,1628030.8913326957
CHE,12589,12589,17421341027,1383854.2399714035
MANY,36152,36152,15626237468,432237.1505864129
BEL,11899,11899,14017820138,1178067.0760568115
ARG,1089,1089,13213323494,12133446.734618917
FIN,2757,2757,8736621476,3168887.0061661224
UKR,491,491,7293368361,14854110.714867618
SWE,7155,7155,6690558727,935088.5712089448
IRL,3309,3309,5635166445,1702981.6999093383
DNK,4906,4906,5472175859,1115404.7816958826
TUR,2731,2731,5300299158,1940790.6107652874
PAK,1510,1510,5059568659,3350707.721192053
PNG,194,194,4562298566,23517002.917525772
PRK,700,700,4518957596,6455653.708571428
ISR,3403,3403,4409734552,1295837.364678225
MEX,3205,3205,4402582365,1373660.6443057721
URY,2295,2295,4207403213,1833291.160348584
AUT,3414,3414,3786417730,1109085.4510837728
NGA,35,35,2852115363,81489010.37142856
ZAF,1113,1113,2844191944,2555428.521114106
CZE,1792,1792,2272607655,1268196.236049107
NOR,1217,1217,1884907382,1548814.611339359
IRN,89,89,1721859489,19346735.831460673
BGD,3191,3191,1520446157,476479.5227201504
POL,1266,1266,1420201208,1121801.9020537124
CHL,752,752,1328239676,1766276.164893617
BGR,344,344,1258767289,3659207.2354651163
LKA,649,649,1065923904,1642409.713405239
KHM,1570,1570,904583586,576167.8891719745
MMR,261,261,845046078,3237724.436781609
MAC,655,655,715157528,1091843.5541984732
BLR,35,35,646186873,18462482.085714284
COL,189,189,602480130,3187725.5555555555
SLB,92,92,597996093,6499957.532608695
HUN,933,933,589007764,631305.2132904609
OMN,163,163,511876139,3140344.411042945
KEN,61,61,446077118,7312739.639344262
GRC,235,235,402772659,1713926.2085106382
ANT,81,81,393863146,4862507.975308642
HRV,141,141,386814565,2743365.709219858
PER,100,100,339832178,3398321.78
JOR,38,38,298502577,7855330.97368421
DZA,4,4,298498327,74624581.75
SYC,44,44,284807357,6472894.4772727275
SVN,306,306,261035871,853058.4019607843
MLT,115,115,246893877,2146903.2782608694
BRN,69,69,246167241,3567641.1739130435
PRT,647,647,224471759,346942.44049459044
MHL,30,30,220005982,7333532.733333333
ECU,54,54,218295825,4042515.277777778
EGY,152,152,217731443,1432443.7039473683
CRI,263,263,207249079,788019.3117870722
PRY,14,14,195260388,13947170.57142857
ROU,227,227,190524382,839314.4581497797
LTU,82,82,189932285,2316247.3780487804
ZAR,7,7,186408682,26629811.714285713
MAR,186,186,182712650,982326.0752688173
MWI,34,34,180747069,5316090.264705882
PRI,69,69,175308819,2540707.5217391304
NTZ,167,167,166613027,997682.7964071856
ZMB,20,20,142629066,7131453.3
CYP,138,138,140045660,1014823.6231884058
DOM,45,45,139667462,3103721.3777777776
TZA,33,33,139374218,4223461.151515151
SVK,152,152,119312859,784953.0197368421
PAN,53,53,115529385,2179799.716981132
VUT,4,4,109855775,27463943.75
LIE,347,347,100466178,289527.8904899135
VGB,39,39,98123652,2515991.076923077
BHR,60,60,93678336,1561305.6
ZWE,15,15,92993970,6199598.0
MOZ,26,26,89137002,3428346.230769231
LUX,127,127,88906591,700051.8976377953
TUN,31,31,86300381,2783883.2580645164
CUB,23,23,84272175,3664007.6086956523
GUM,356,356,66689441,187329.89044943822
MUS,36,36,65226354,1811843.1666666667
CYM,22,22,62634264,2847012.0
ISL,26,26,61415475,2362133.653846154
GEO,61,61,57920501,949516.4098360656
EST,50,50,54714552,1094291.04
FJI,7,7,48386286,6912326.571428572
HND,67,67,48297242,720854.3582089553
BIH,19,19,48273706,2540721.3684210526
GTM,35,35,48208978,1377399.3714285714
MDA,14,14,47920552,3422896.5714285714
NFK,10,10,40944992,4094499.2
LVA,29,29,34408463,1186498.7241379311
