countryorigin_iso3,tq,row_count,measure_sum
CHN,2015q4,178562,190892099172
CHN,2015q3,168308,182891830633
CHN,2015q1,109734,140597102378
CHN,2015q2,133022,137224103239
JPN,2015q4,132103,115091693695
JPN,2015q3,128445,105858962864
USA,2015q4,69624,90690074518
USA,2015q3,67794,89082158219
KOR,2015q3,38302,86463291845
KOR,2015q4,39145,82102853072
TWN,2015q3,30781,77972760677
THA,2015q4,27158,76944045323
TWN,2015q4,31523,67355379220
SGP,2015q4,62819,66319437226
THA,2015q3,27124,65627656768
SGP,2015q3,65063,64712088034
USA,2015q2,43692,62229399976
SAU,2015q2,153,58017821645
THA,2015q1,15004,55159486010
KOR,2015q2,20816,54880585970
THA,2015q2,17577,54408263773
TWN,2015q2,17834,54377520333
SGP,2015q2,46714,51145417814
USA,2015q1,28149,49519502761
SGP,2015q1,33753,47922905422
IDN,2015q3,9592,45549200628
TWN,2015q1,12933,45267627719
SAU,2015q3,132,45166931780
JPN,2015q2,57505,44799078950
KOR,2015q1,13800,43360543137
MYS,2015q3,21222,43306841496
MYS,2015q4,20827,42629682032
MYS,2015q1,9872,42255779888
IDN,2015q4,10050,41401926558
IDN,2015q2,8169,40265286655
JPN,2015q1,34322,38812771914
IDN,2015q1,8008,35717431606
MYS,2015q2,12959,33549591914
HKG,2015q3,35119,30660673952
HKG,2015q4,35212,30333437593
DEU,2015q3,22194,30133419280
SAU,2015q1,196,28887788740
SAU,2015q4,121,26824370206
KWT,2015q4,33,26302240094
VNM,2015q4,8304,25066567110
VNM,2015q3,8191,23031505755
KWT,2015q3,13,20392828529
VNM,2015q2,4981,19766179120
DEU,2015q2,15676,18648834361
IND,2015q3,8641,18582860379
IND,2015q4,8178,18166978825
DEU,2015q4,22044,17974739036
DEU,2015q1,11403,17283603811
FRA,2015q1,3517,15418483255
IND,2015q1,6833,15245769580
HKG,2015q2,19371,14965857843
VNM,2015q1,4031,13696150315
IND,2015q2,7151,12261233533
FRA,2015q3,6692,11988467037
AUS,2015q2,5208,11511142529
RUS,2015q4,91,11503134446
ARE,2015q1,607,11431551322
FRA,2015q4,6530,10263891533
HKG,2015q1,12132,10106070971
QAT,2015q2,82,10091029353
AUS,2015q1,4902,9928291626
AUS,2015q3,6196,9507575278
QAT,2015q1,88,9150584695
AUS,2015q4,5801,9056357565
RUS,2015q1,57,8418215403
ARE,2015q3,893,8342974991
ITA,2015q4,6194,8108693172
BRA,2015q4,834,7734163603
QAT,2015q3,96,7438887423
RUS,2015q2,104,7356561944
GBR,2015q3,8046,7195072027
FRA,2015q2,4861,6967073736
CAN,2015q2,1817,6876432530
BRA,2015q3,736,6820923903
CAN,2015q3,2178,6559492894
ARG,2015q4,288,6538448145
NZL,2015q1,1484,6525698691
NLD,2015q4,4357,6472621915
NZL,2015q2,1470,6230960957
GBR,2015q4,8344,6182311622
GBR,2015q2,5130,5712720951
NLD,2015q3,4211,5680161009
RUS,2015q3,149,5659047238
ARE,2015q2,706,5646696620
ITA,2015q2,5111,5554118168
ITA,2015q3,6403,5444578014
MANY,2015q4,11734,5436554843
NLD,2015q2,3101,5436519252
ESP,2015q3,2918,5411847703
ITA,2015q1,4006,5274252202
NZL,2015q3,1303,5087894324
ESP,2015q2,2955,5053260363
NLD,2015q1,2189,4907328727
