countryorigin_iso3,2015q1,2015q2,2015q3,2015q4,Total
AFG,,,567713.0,20833.0,588546
AGO,,,11752842.0,,11752842
AIA,,,1429763.0,4690247.0,6120010
ALB,,138212.0,947695.0,3269863.0,4355770
AND,,1551437.0,4748724.0,9928679.0,16228840
ANT,40935635.0,32456819.0,215604087.0,104866605.0,393863146
ARE,11431551322.0,5646696620.0,8342974991.0,4224540856.0,29645763789
ARG,2034265814.0,881072869.0,3759536666.0,6538448145.0,13213323494
ARM,,,267772.0,730770.0,998542
ASM,332513.0,,625411.0,1617296.0,2575220
ATA,,,594836.0,,594836
ATF,,,2692682.0,,2692682
ATG,,,,1309184.0,1309184
AUS,9928291626.0,11511142529.0,9507575278.0,9056357565.0,40003366998
AUT,277545663.0,824561897.0,1197974124.0,1486336046.0,3786417730
AZE,2654770.0,737227.0,3200070.0,403580.0,6995647
BEL,2570232723.0,3149865814.0,3726978977.0,4570742624.0,14017820138
BEN,,,,30824.0,30824
BGD,389564423.0,325632512.0,461105608.0,344143614.0,1520446157
BGR,309191343.0,280645773.0,234352255.0,434577918.0,1258767289
BHR,16699764.0,15861757.0,35636458.0,25480357.0,93678336
BIH,2753530.0,4924137.0,18134163.0,22461876.0,48273706
BLR,102396905.0,222415421.0,109562693.0,211811854.0,646186873
BLZ,1271144.0,2582168.0,2929994.0,2478223.0,9261529
BOL,,78574.0,1316648.0,161439.0,1556661
BRA,4499313946.0,3148858224.0,6820923903.0,7734163603.0,22203259676
BRB,60665.0,,200872.0,3743707.0,4005244
BRN,34677023.0,56541702.0,150993342.0,3955174.0,246167241
BWA,,,55743.0,,55743
CAF,,,443357.0,,443357
CAN,3910780984.0,6876432530.0,6559492894.0,4818628271.0,22165334679
CHE,4472817400.0,4122182124.0,4317356162.0,4508985341.0,17421341027
CHL,433292326.0,442740215.0,259904669.0,192302466.0,1328239676
CHN,140597102378.0,137224103239.0,182891830633.0,190892099172.0,651605135422
CIV,,3658244.0,1050125.0,5426055.0,10134424
CMR,2280461.0,1568342.0,803306.0,1801180.0,6453289
COL,130765388.0,135296378.0,156803332.0,179615032.0,602480130
CPV,,,,10027.0,10027
CRI,37746448.0,47649412.0,64068811.0,57784408.0,207249079
CUB,2885740.0,1654314.0,41426937.0,38305184.0,84272175
CXR,,,902440.0,791253.0,1693693
CYM,712756.0,7025857.0,24391113.0,30504538.0,62634264
CYP,58004796.0,31234896.0,15858668.0,34947300.0,140045660
CZE,121007355.0,361676507.0,867501786.0,922422007.0,2272607655
DEU,17283603811.0,18648834361.0,30133419280.0,17974739036.0,84040596488
DMA,,,4406190.0,,4406190
DNK,1302171623.0,1099720654.0,1410792184.0,1659491398.0,5472175859
DOM,117658.0,2846670.0,1338150.0,135364984.0,139667462
DZA,,,147402169.0,151096158.0,298498327
