countryorigin_iso3,row_count,valid_measure_count,measure_sum,measure_mean
CHN,589626,589626,651605135422,1105116.014934891
JPN,352375,352375,304562507423,864313.6074437744
USA,209259,209259,291521135474,1393111.576916644
KOR,112063,112063,266807274024,2380868.5652177795
THA,86863,86863,252139451874,2902725.5779100424
TWN,93071,93071,244973287949,2632111.9140118835
SGP,208349,208349,230099848496,1104396.2221848918
IDN,35819,35819,162933845447,4548810.559954214
MYS,64880,64880,161741895330,2492939.200524044
SAU,602,602,158896912371,263948359.4202658
